date_time,mean_wind_mps,min_wind_mps,max_wind_mps,cum_energy_delivered_kwh,energy_sentout_10min_kwh
1/1/13,11.3,8.1,14.5,2510065,550
1/1/13 0:10,12,9.1,15.4,2510615,550
1/1/13 0:20,11.6,7.1,16.7,2511165,549
1/1/13 0:30,11.8,9.4,14.2,2511714,551
1/1/13 0:40,11.2,8.1,14.3,2512265,550
1/1/13 0:50,11.1,7.1,14.4,2512815,550
1/1/13 1:00,12,9,14.8,2513365,550
1/1/13 1:10,11.3,6.9,14.5,2513915,550
1/1/13 1:20,11.9,8.6,15.5,2514465,550
1/1/13 1:30,11.2,7.9,14.8,2515015,550
1/1/13 1:40,11.5,7.9,15.3,2515565,550
1/1/13 1:50,10.9,7.1,14.2,2516115,549
1/1/13 2:00,10.9,7.2,13.9,2516664,551
1/1/13 2:10,11.2,8,13.9,2517215,543
1/1/13 2:20,10.8,7.2,14.8,2517758,461
1/1/13 2:30,10.2,7.1,13,2518219,416
1/1/13 2:40,10.2,6.5,13.8,2518635,417
1/1/13 2:50,11,6.1,14.3,2519052,417
1/1/13 3:00,10.5,7.1,14.6,2519469,417
1/1/13 3:10,10.8,6.8,15.1,2519886,416
1/1/13 3:20,10.9,7.2,13.8,2520302,417
1/1/13 3:30,11.1,7.9,14,2520719,416
1/1/13 3:40,10.1,6.6,13.1,2521135,417
1/1/13 3:50,10.8,7.9,13.1,2521552,417
1/1/13 4:00,11.5,7.9,14.5,2521969,416
1/1/13 4:10,11.3,7.4,15,2522385,417
1/1/13 4:20,10.8,7.5,14.1,2522802,416
1/1/13 4:30,10.6,6.4,14.2,2523218,417
1/1/13 4:40,11.4,7.3,16.6,2523635,417
1/1/13 4:50,11.6,7.8,15.5,2524052,417
1/1/13 5:00,10,7.3,14,2524469,416
1/1/13 5:10,10.7,7.9,14.5,2524885,416
1/1/13 5:20,10.3,7.3,14.6,2525301,417
1/1/13 5:30,10,6.4,13.8,2525718,417
1/1/13 5:40,9.9,6.2,13.1,2526135,417
1/1/13 5:50,10,7.3,12.6,2526552,417
1/1/13 6:00,9.7,6.3,12.8,2526969,416
1/1/13 6:10,8.5,5.6,12.1,2527385,417
1/1/13 6:20,9,6.1,12.4,2527802,401
1/1/13 6:30,9.3,6.3,12.4,2528203,420
1/1/13 6:40,9.2,6.3,13.2,2528623,417
1/1/13 6:50,8.8,6.5,12.1,2529040,417
1/1/13 7:00,9.6,6.4,14.2,2529457,416
1/1/13 7:10,9,5.7,13.9,2529873,417
1/1/13 7:20,9.1,6.3,12.4,2530290,395
1/1/13 7:30,10.8,8,13,2530685,384
1/1/13 7:40,10.1,6.6,12.6,2531069,383
1/1/13 7:50,9.9,6.2,12.9,2531452,383
1/1/13 8:00,9.9,6.7,12.9,2531835,383
1/1/13 8:10,10.5,7.4,13.7,2532218,358
1/1/13 8:20,9.8,6.7,13.3,2532576,350
1/1/13 8:30,9.6,6.4,14.1,2532926,349
1/1/13 8:40,9.3,5.8,15.5,2533275,350
1/1/13 8:50,8.7,5.8,11.6,2533625,350
1/1/13 9:00,9,5.9,11.3,2533975,350
1/1/13 9:10,10.2,6.1,13.1,2534325,351
1/1/13 9:20,10,6.5,13.5,2534676,350
1/1/13 9:30,9.9,5.9,13.7,2535026,350
1/1/13 9:40,11,7.7,13.8,2535376,350
1/1/13 9:50,10.8,6.8,14,2535726,374
1/1/13 10:00,11.2,8.5,14.7,2536100,389
1/1/13 10:10,10.9,7.7,15.1,2536489,400
1/1/13 10:20,10.6,7,13.8,2536889,400
1/1/13 10:30,11.1,6.5,14,2537289,400
1/1/13 10:40,10.4,7.6,13,2537689,400
1/1/13 10:50,10.1,6,14.1,2538089,400
1/1/13 11:00,9.5,6.2,12.5,2538489,399
1/1/13 11:10,11,7.5,15.2,2538888,401
1/1/13 11:20,11.1,7.1,15.3,2539289,400
1/1/13 11:30,10,6.6,14.1,2539689,416
1/1/13 11:40,10.6,6.2,13.9,2540105,417
1/1/13 11:50,11.1,8.5,14.1,2540522,417
1/1/13 12:00,11.5,8.9,15.2,2540939,416
1/1/13 12:10,11.2,8.3,14,2541355,417
1/1/13 12:20,10.5,5.3,13.2,2541772,422
1/1/13 12:30,11.2,9,13.3,2542194,433
1/1/13 12:40,10.2,7.2,13.3,2542627,433
1/1/13 12:50,10.3,6.3,13.8,2543060,434
1/1/13 13:00,10.7,6,14.2,2543494,433
1/1/13 13:10,10.8,6.3,13.5,2543927,433
1/1/13 13:20,11.4,6.6,14,2544360,439
1/1/13 13:30,10.7,7.1,14,2544799,467
1/1/13 13:40,10.3,6.9,13.5,2545266,466
1/1/13 13:50,9.9,6,12.7,2545732,457
1/1/13 14:00,9.7,7.2,13.9,2546189,467
1/1/13 14:10,10.2,5.9,14.7,2546656,466
1/1/13 14:20,10.5,7.4,13.5,2547122,467
1/1/13 14:30,9.8,6.4,12.6,2547589,458
1/1/13 14:40,9.1,5.4,12.4,2548047,442
1/1/13 14:50,8.7,5.1,12,2548489,435
1/1/13 15:00,9.4,5.6,12.2,2548924,433
1/1/13 15:10,9.2,5.7,12,2549357,435
1/1/13 15:20,9.7,5.5,13.5,2549792,429
1/1/13 15:30,9.8,7.2,12.2,2550221,440
1/1/13 15:40,9.3,6.1,13.2,2550661,433
1/1/13 15:50,9.9,7.2,13.4,2551094,434
1/1/13 16:00,9.9,6.6,12.2,2551528,433
1/1/13 16:10,10.1,8,12.5,2551961,433
1/1/13 16:20,9.2,6,11.7,2552394,433
1/1/13 16:30,10.1,7.1,12.5,2552827,434
1/1/13 16:40,9.8,7,11.9,2553261,433
1/1/13 16:50,9.8,6.4,13.2,2553694,434
1/1/13 17:00,9.7,7.4,11.7,2554128,433
1/1/13 17:10,9.9,7.1,12.4,2554561,434
1/1/13 17:20,9.3,6.8,12,2554995,432
1/1/13 17:30,9.6,5.7,12.7,2555427,450
1/1/13 17:40,9.3,6.3,11.7,2555877,467
1/1/13 17:50,9.8,7,11.9,2556344,466
1/1/13 18:00,9,5.9,11.3,2556810,467
1/1/13 18:10,8.5,5.6,11.2,2557277,466
1/1/13 18:20,9.1,6.8,10.8,2557743,466
1/1/13 18:30,9.2,6.8,11.1,2558209,492
1/1/13 18:40,9.4,6.8,11.9,2558701,504
1/1/13 18:50,9.4,7.5,11.2,2559205,492
1/1/13 19:00,7.9,5.4,11.2,2559697,442
1/1/13 19:10,8.4,6.1,10.6,2560139,448
1/1/13 19:20,7.6,5.5,10,2560587,465
1/1/13 19:30,8.5,6.1,10.6,2561052,434
1/1/13 19:40,8.3,5.6,11.1,2561486,392
1/1/13 19:50,8.2,5.6,10.6,2561878,454
1/1/13 20:00,7.9,5.5,10.1,2562332,420
1/1/13 20:10,8.7,5.6,10.9,2562752,463
1/1/13 20:20,7.5,5.4,10,2563215,467
1/1/13 20:30,8.9,6.5,11.3,2563682,467
1/1/13 20:40,8.9,5.8,11.7,2564149,464
1/1/13 20:50,8.9,6.6,12.2,2564613,470
1/1/13 21:00,8.3,5.9,11.7,2565083,450
1/1/13 21:10,9,7,11.4,2565533,456
1/1/13 21:20,8.1,5.6,10.3,2565989,337
1/1/13 21:30,8.2,6,10.1,2566326,297
1/1/13 21:40,7.2,4.1,10.1,2566623,257
1/1/13 21:50,8,5,10.8,2566880,334
1/1/13 22:00,7.7,5.1,10.3,2567214,347
1/1/13 22:10,7.8,5.2,10,2567561,367
1/1/13 22:20,7.8,5.2,10.7,2567928,364
1/1/13 22:30,8.5,6,12.1,2568292,360
1/1/13 22:40,7.4,5.5,9.7,2568652,257
1/1/13 22:50,7.6,5.5,9.9,2568909,241
1/1/13 23:00,7.4,5,9.6,2569150,251
1/1/13 23:10,7.3,5.3,9.8,2569401,265
1/1/13 23:20,7.9,5.2,11,2569666,271
1/1/13 23:30,7.9,5.4,9.8,2569937,300
1/1/13 23:40,7.1,4.1,9.5,2570237,296
1/1/13 23:50,7.5,5.8,9.6,2570533,297
1/2/13,7.4,5.1,10.5,2570830,296
1/2/13 0:10,7.6,6,10.8,2571126,304
1/2/13 0:20,7.4,4.6,10.9,2571430,337
1/2/13 0:30,7.2,5.2,9.3,2571767,419
1/2/13 0:40,8.5,6.6,10.2,2572186,416
1/2/13 0:50,8.1,6.4,10.8,2572602,417
1/2/13 1:00,9.2,7.3,11.3,2573019,416
1/2/13 1:10,9,7.3,10.4,2573435,417
1/2/13 1:20,9,6.4,11,2573852,416
1/2/13 1:30,8.2,6.8,9.9,2574268,416
1/2/13 1:40,8.4,6.5,10.4,2574684,417
1/2/13 1:50,9.2,6,11.7,2575101,416
1/2/13 2:00,9.1,6.7,11.7,2575517,417
1/2/13 2:10,9.6,6.2,11.6,2575934,417
1/2/13 2:20,9,5.9,11.6,2576351,417
1/2/13 2:30,8.5,6.1,11,2576768,394
1/2/13 2:40,9.8,6.8,12.4,2577162,384
1/2/13 2:50,10.5,8.1,12.4,2577546,383
1/2/13 3:00,9.5,7.1,12.1,2577929,383
1/2/13 3:10,9.4,6.5,12.4,2578312,384
1/2/13 3:20,9.6,6.4,11.7,2578696,383
1/2/13 3:30,9.8,7.5,12.7,2579079,383
1/2/13 3:40,10,7.1,12.5,2579462,384
1/2/13 3:50,10.6,7.7,13.6,2579846,384
1/2/13 4:00,10.9,7,13.9,2580230,383
1/2/13 4:10,11.2,7.9,13.8,2580613,383
1/2/13 4:20,9.7,7.1,12.4,2580996,384
1/2/13 4:30,9.4,6.5,12.7,2581380,383
1/2/13 4:40,11.1,7.9,14,2581763,382
1/2/13 4:50,10.8,8.1,13.6,2582145,333
1/2/13 5:00,10,7.6,12.1,2582478,333
1/2/13 5:10,10.1,7.8,12.1,2582811,334
1/2/13 5:20,10.4,6.2,12.8,2583145,333
1/2/13 5:30,10.4,8.5,13.3,2583478,334
1/2/13 5:40,9.7,7.2,11.9,2583812,333
1/2/13 5:50,11.1,8.1,12.7,2584145,333
1/2/13 6:00,11.3,8.8,14.1,2584478,334
1/2/13 6:10,10.6,7.9,13.1,2584812,333
1/2/13 6:20,9.8,7.4,12.2,2585145,350
1/2/13 6:30,9.6,6.4,12.1,2585495,366
1/2/13 6:40,10.5,8.2,12.7,2585861,367
1/2/13 6:50,9.9,7.6,13,2586228,366
1/2/13 7:00,9.9,7.5,13.2,2586594,367
1/2/13 7:10,9.8,6.5,13.5,2586961,367
1/2/13 7:20,9.2,7,12.6,2587328,367
1/2/13 7:30,9.6,7.1,12.3,2587695,367
1/2/13 7:40,10,7.4,12.5,2588062,366
1/2/13 7:50,10.5,8.3,12.5,2588428,379
1/2/13 8:00,10.7,8.3,13.4,2588807,427
1/2/13 8:10,11,8.8,13.3,2589234,433
1/2/13 8:20,11.2,8.1,14,2589667,488
1/2/13 8:30,11.4,7.8,13.8,2590155,500
1/2/13 8:40,10.6,7.7,14.3,2590655,500
1/2/13 8:50,11.4,9,13.8,2591155,500
1/2/13 9:00,11.9,8.1,15.3,2591655,500
1/2/13 9:10,12.6,9.2,14.4,2592155,500
1/2/13 9:20,12.7,8.3,15.3,2592655,501
1/2/13 9:30,12.5,8.4,15.5,2593156,500
1/2/13 9:40,12,8.5,15.7,2593656,500
1/2/13 9:50,12.1,8,14.8,2594156,500
1/2/13 10:00,12.6,9,15.6,2594656,499
1/2/13 10:10,12.8,8.6,16,2595155,500
1/2/13 10:20,13.1,9,16.8,2595655,500
1/2/13 10:30,11.7,8.2,15.2,2596155,500
1/2/13 10:40,12.3,8.8,15.5,2596655,500
1/2/13 10:50,12.7,8,16.1,2597155,499
1/2/13 11:00,11.7,7.1,16,2597654,501
1/2/13 11:10,11.8,7,15.1,2598155,499
1/2/13 11:20,11.6,8.4,15,2598654,500
1/2/13 11:30,11.2,7.2,14.8,2599154,501
1/2/13 11:40,11.3,7.8,14.1,2599655,499
1/2/13 11:50,11.9,7.6,14.9,2600154,500
1/2/13 12:00,10.5,6.9,13.3,2600654,502
1/2/13 12:10,10.8,7.5,13,2601156,500
