"","Date","year","month","day","hours","Delhi.Generation","Schedule.from.Grid","Drawl.from.Grid","Demand.met","OD.UD","Frequency"
"1",2012-04-01,"2012","04","01","00",1034.86,1856.2,1320.295,2355.155,-535.905,49.824
"2",2012-04-01,"2012","04","01","01",1017.04,1337.45,1209.91,2226.95,-127.54,49.954
"3",2012-04-01,"2012","04","01","02",973.805,1052.495,1065.93,2039.735,13.435,49.851
"4",2012-04-01,"2012","04","01","03",936.545,1373.97,1055.665,1992.21,-318.305,50.005
"5",2012-04-01,"2012","04","01","04",920.63,1023.91,1027.84,1948.47,3.93,50.137
"6",2012-04-01,"2012","04","01","05",922.465,1031.03,1091.42,2013.885,60.39,50.061
"7",2012-04-01,"2012","04","01","06",955.81,1031.03,1245.875,2201.685,214.845,50.01
"8",2012-04-01,"2012","04","01","07",973.985,1031.03,1458.79,2432.775,427.76,50.1345
"9",2012-04-01,"2012","04","01","08",957.92,1643.685,1553.65,2511.57,-90.035,50.1955
"10",2012-04-01,"2012","04","01","09",956.7,1716.445,1537.335,2494.035,-179.11,50.171
"11",2012-04-01,"2012","04","01","10",947.03,1974.23,1593.85,2540.88,-380.38,50.2395
"12",2012-04-01,"2012","04","01","11",936.96,1843.435,1658.975,2595.935,-184.46,49.978
"13",2012-04-01,"2012","04","01","12",946.92,1881.355,1701.64,2648.56,-179.715,50.0565
"14",2012-04-01,"2012","04","01","13",979.64,2025.945,1638.825,2618.465,-387.12,50.1025
"15",2012-04-01,"2012","04","01","14",1011.1,2052.035,1486.06,2497.16,-565.975,49.934
"16",2012-04-01,"2012","04","01","15",997.58,2049.185,1572.94,2570.52,-476.245,50.0345
"17",2012-04-01,"2012","04","01","16",1010.795,2039.78,1559.985,2570.78,-479.795,50.0345
"18",2012-04-01,"2012","04","01","17",1004.735,1884.3,1550.785,2555.52,-333.515,50.2365
"19",2012-04-01,"2012","04","01","18",989.02,1909.85,1551.595,2540.615,-358.255,50.1
"20",2012-04-01,"2012","04","01","19",980.645,1986.805,1793.185,2773.83,-193.62,50.1
"21",2012-04-01,"2012","04","01","20",981.66,2107.035,1979.76,2961.42,-127.275,49.9245
"22",2012-04-01,"2012","04","01","21",1016.38,1811.02,1820.235,2836.615,9.215,49.8585
"23",2012-04-01,"2012","04","01","22",1003.54,1952.49,1754.85,2758.39,-197.64,49.9415
"24",2012-04-01,"2012","04","01","23",1044.67,1940.65,1604.865,2649.535,-335.785,49.9075
"25",2012-04-02,"2012","04","02","00",1195.045,1999.92,1397.52,2592.565,-602.4,49.9145
"26",2012-04-02,"2012","04","02","01",974.665,1903.655,1276.53,2251.195,-627.125,50.0075
"27",2012-04-02,"2012","04","02","02",978.095,1570.24,1156.165,2134.26,-414.075,50.0565
"28",2012-04-02,"2012","04","02","03",967.065,1199.92,1093.32,2060.385,-106.6,50.005
"29",2012-04-02,"2012","04","02","04",946.73,903.12,1115.67,2062.4,212.55,50.017
"30",2012-04-02,"2012","04","02","05",944.29,1301.99,1132.05,2076.34,-169.94,49.9365
"31",2012-04-02,"2012","04","02","06",982.52,1827.27,1441.84,2424.36,-385.43,50.144
"32",2012-04-02,"2012","04","02","07",998.54,1880.375,1645.16,2643.7,-235.215,50.1685
"33",2012-04-02,"2012","04","02","08",914.415,1809.575,1721.785,2636.2,-87.79,50.12
"34",2012-04-02,"2012","04","02","09",906.46,1992.09,1805.7,2712.16,-186.39,49.985
