"datetime","demand.kWh"
2013-01-01 00:00:00,7636
2013-01-01 01:00:00,7414
2013-01-01 02:00:00,6950
2013-01-01 03:00:00,6698
2013-01-01 04:00:00,6276
2013-01-01 05:00:00,6276
2013-01-01 06:00:00,6150
2013-01-01 07:00:00,6024
2013-01-01 08:00:00,6487
2013-01-01 09:00:00,6655
2013-01-01 10:00:00,6908
2013-01-01 11:00:00,7161
2013-01-01 12:00:00,7287
2013-01-01 13:00:00,7287
2013-01-01 14:00:00,6908
2013-01-01 15:00:00,6992
2013-01-01 16:00:00,6740
2013-01-01 17:00:00,6950
2013-01-01 18:00:00,8950
2013-01-01 19:00:00,8703
2013-01-01 20:00:00,8455
2013-01-01 21:00:00,8194
2013-01-01 22:00:00,7741
2013-01-01 23:00:00,2547
2013-01-02 00:00:00,5185
2013-01-02 01:00:00,4767
2013-01-02 02:00:00,3370
2013-01-02 03:00:00,4676
2013-01-02 04:00:00,4549
2013-01-02 05:00:00,4549
2013-01-02 06:00:00,4339
2013-01-02 07:00:00,4465
2013-01-02 08:00:00,4844
2013-01-02 09:00:00,5055
2013-01-02 10:00:00,5139
2013-01-02 11:00:00,5350
2013-01-02 12:00:00,5265
2013-01-02 13:00:00,5434
2013-01-02 14:00:00,5350
2013-01-02 15:00:00,5771
2013-01-02 16:00:00,7245
2013-01-02 17:00:00,7709
2013-01-02 18:00:00,9014
2013-01-02 19:00:00,9141
2013-01-02 20:00:00,8804
2013-01-02 21:00:00,8088
2013-01-02 22:00:00,7329
2013-01-02 23:00:00,6782
2013-01-03 00:00:00,6108
2013-01-03 01:00:00,5939
2013-01-03 02:00:00,5855
2013-01-03 03:00:00,5813
2013-01-03 04:00:00,5813
2013-01-03 05:00:00,5939
2013-01-03 06:00:00,6361
2013-01-03 07:00:00,7624
2013-01-03 08:00:00,8425
2013-01-03 09:00:00,8804
2013-01-03 10:00:00,8267
2013-01-03 11:00:00,8813
2013-01-03 12:00:00,8975
2013-01-03 13:00:00,8615
2013-01-03 14:00:00,8810
2013-01-03 15:00:00,8730
2013-01-03 16:00:00,7877
2013-01-03 17:00:00,8172
2013-01-03 18:00:00,9782
2013-01-03 19:00:00,9717
2013-01-03 20:00:00,9309
2013-01-03 21:00:00,8972
2013-01-03 22:00:00,7961
2013-01-03 23:00:00,6740
2013-01-04 00:00:00,6318
2013-01-04 01:00:00,5981
2013-01-04 02:00:00,5981
2013-01-04 03:00:00,5855
2013-01-04 04:00:00,5813
2013-01-04 05:00:00,5939
2013-01-04 06:00:00,6445
2013-01-04 07:00:00,7793
2013-01-04 08:00:00,8719
2013-01-04 09:00:00,9099
2013-01-04 10:00:00,9267
2013-01-04 11:00:00,9520
2013-01-04 12:00:00,9393
