windspeed_mps,power_kW
0,0
0.044704,0
0.089408,0
0.134112,0
0.178816,0
0.22352,0
0.268224,0
0.312928,0
0.357632,0
0.402336,0
0.44704,0
0.491744,0
0.536448,0
0.581152,0
0.625856,0
0.67056,0
0.715264,0
0.759968,0
0.804672,0
0.849376,0
0.89408,0
0.938784,0
0.983488,0
1.028192,0
1.072896,0
1.1176,0
1.162304,0
1.207008,0
1.251712,0
1.296416,0
1.34112,0
1.385824,0
1.430528,0
1.475232,0
1.519936,0
1.56464,0
1.609344,0
1.654048,0
1.698752,0
1.743456,0
1.78816,0
1.832864,0
1.877568,0
1.922272,0
1.966976,0
2.01168,0
2.056384,0
2.101088,0
2.145792,0
2.190496,0
2.2352,0
2.279904,0
2.324608,0
2.369312,0
2.414016,0
2.45872,0
2.503424,0
2.548128,0
2.592832,0
2.637536,0
2.68224,0
2.726944,0
2.771648,0
2.816352,0
2.861056,0
2.90576,0
2.950464,0
2.995168,0
3.039872,0
3.084576,0
3.12928,0
3.173984,1.55
3.218688,3.1
3.263392,4.65
3.308096,6.2
3.3528,7.75
3.397504,9.3
3.442208,10.85
3.486912,12.4
3.531616,13.95
3.57632,15.5
3.621024,17.05
3.665728,18.6
3.710432,20.15
3.755136,21.7
3.79984,23.25
3.844544,24.8
3.889248,26.35
3.933952,27.9
3.978656,29.45
4.02336,31
4.068064,33.1
4.112768,35.2
4.157472,37.3
4.202176,39.4
4.24688,41.5
4.291584,43.6
4.336288,45.7
4.380992,47.8
4.425696,49.9
4.4704,52
4.515104,54.1
4.559808,56.2
4.604512,58.3
4.649216,60.4
4.69392,62.5
4.738624,64.6
4.783328,66.7
4.828032,68.8
4.872736,70.9
4.91744,73
4.962144,75.6
5.006848,78.2
5.051552,80.8
5.096256,83.4
5.14096,86
5.185664,88.6
5.230368,91.2
5.275072,93.8
5.319776,96.4
5.36448,99
5.409184,101.6
5.453888,104.2
5.498592,106.8
5.543296,109.4
5.588,112
5.632704,114.6
5.677408,117.2
5.722112,119.8
5.766816,122.4
5.81152,125
5.856224,127.8333333
5.900928,130.6666667
5.945632,133.5
5.990336,136.3333333
6.03504,139.1666667
6.079744,142
6.124448,144.8333333
6.169152,147.6666667
6.213856,150.5
6.25856,153.3333333
6.303264,156.1666667
6.347968,159
6.392672,161.8333333
6.437376,164.6666667
6.48208,167.5
6.526784,170.3333333
6.571488,173.1666667
6.616192,176
6.660896,178.8333333
6.7056,181.6666667
6.750304,184.5
6.795008,187.3333333
6.839712,190.1666667
6.884416,193
6.92912,195.8333333
6.973824,198.6666667
7.018528,201.5
7.063232,204.3333333
7.107936,207.1666667
7.15264,210
7.197344,216.25
7.242048,222.5
7.286752,228.75
7.331456,235
7.37616,241.25
7.420864,247.5
7.465568,253.75
7.510272,260
7.554976,266.25
7.59968,272.5
7.644384,278.75
7.689088,285
7.733792,291.25
7.778496,297.5
7.8232,303.75
7.867904,310
7.912608,316.25
7.957312,322.5
8.002016,328.75
8.04672,335
8.091424,340.95
8.136128,346.9
8.180832,352.85
8.225536,358.8
8.27024,364.75
8.314944,370.7
8.359648,376.65
8.404352,382.6
8.449056,388.55
8.49376,394.5
8.538464,400.45
8.583168,406.4
8.627872,412.35
8.672576,418.3
8.71728,424.25
8.761984,430.2
8.806688,436.15
8.851392,442.1
8.896096,448.05
8.9408,454
8.985504,460.7
9.030208,467.4
9.074912,474.1
9.119616,480.8
9.16432,487.5
9.209024,494.2
9.253728,500.9
9.298432,507.6
9.343136,514.3
9.38784,521
9.432544,527.7
9.477248,534.4
9.521952,541.1
9.566656,547.8
9.61136,554.5
9.656064,561.2
9.700768,567.9
9.745472,574.6
9.790176,581.3
9.83488,588
9.879584,592.0666667
9.924288,596.1333333
9.968992,600.2
10.013696,604.2666667
10.0584,608.3333333
10.103104,612.4
10.147808,616.4666667
10.192512,620.5333333
10.237216,624.6
10.28192,628.6666667
10.326624,632.7333333
10.371328,636.8
10.416032,640.8666667
10.460736,644.9333333
10.50544,649
10.550144,653.0666667
10.594848,657.1333333
10.639552,661.2
10.684256,665.2666667
10.72896,669.3333333
10.773664,673.4
10.818368,677.4666667
10.863072,681.5333333
10.907776,685.6
10.95248,689.6666667
10.997184,693.7333333
11.041888,697.8
11.086592,701.8666667
11.131296,705.9333333
11.176,710
11.220704,713.65
11.265408,717.3
11.310112,720.95
11.354816,724.6
11.39952,728.25
11.444224,731.9
11.488928,735.55
11.533632,739.2
11.578336,742.85
11.62304,746.5
11.667744,750.15
11.712448,753.8
11.757152,757.45
11.801856,761.1
11.84656,764.75
11.891264,768.4
11.935968,772.05
11.980672,775.7
12.025376,779.35
12.07008,783
12.114784,785.1
12.159488,787.2
12.204192,789.3
12.248896,791.4
12.2936,793.5
12.338304,795.6
12.383008,797.7
12.427712,799.8
12.472416,801.9
12.51712,804
12.561824,806.1
12.606528,808.2
12.651232,810.3
12.695936,812.4
12.74064,814.5
12.785344,816.6
12.830048,818.7
12.874752,820.8
12.919456,822.9
12.96416,825
13.008864,825.75
13.053568,826.5
13.098272,827.25
13.142976,828
13.18768,828.75
13.232384,829.5
13.277088,830.25
13.321792,831
13.366496,831.75
13.4112,832.5
13.455904,833.25
13.500608,834
13.545312,834.75
